Producto,"Categoría",Imagen,Falta
merluza,null,"",""
"bonito al natural",null,"",""
"tomate frito",null,"",""
"espárragos en conserva",null,"",""
servilletas,null,"",""
"pimentón",null,"",""
"orégano",null,"",""
"ajo y perejil",null,"",""
perejil,null,"",""
ajos,null,"",""
cebollas,null,"",""
almejas,null,"",""
margarina,null,"",""
mantequilla,null,"",""
"melón",null,"",""
"bolsas de basura negras",null,"",""
"bolsas de basura blancas",null,"",""
"cepillos de dientes",null,"",""
aceitunas,null,"",""
tallarines,null,"",""
"menestra de verduras",null,"",""
laxsana,null,"",""
huevos,null,"",""
"aceite de oliva virgen extra",null,"",""
"aceite de girasol",null,"",""
"champú",null,"",""
"jabón de manos",null,"",""
fairy,null,"",""
"cola cao",null,"",""
caramelos,null,"",""
habas,null,"",""
pizza,null,"",""
"queso rallado mozarella",null,"",""
"pollo asado",null,"",""
vinagre,null,"",""
"vino para guisar",null,"",""
zanahorias,null,"",""
"champiñones",null,"",""
"lechuga romana",null,"",""
tomatitos,null,"",""
donuts,null,"",""
bacon,null,"",""
"gel de manos",null,"",""
"toallitas baños",null,"",""
cacahuetes,null,"",""
avellanas,null,"",""
pistachos,null,"",""
nueces,null,"",""
pilas,null,"",""
"fuze tea",null,"",""
"melocotónes",null,"",""
"pan sin gluten",null,"",""
"sandía",null,"",""
suavizante,null,"",""
pronto,null,"",""
gazpacho,null,"",""
"salvaslip maxi",null,"",""
pepino,null,"",""
ciruelas,null,"",""
"queso en polvo",null,"",""
churros,null,"",""
"queso rallado 4 quesos",null,"",""
"mejillones congelados",null,"",""
"bolsas zip",null,"",""
"bases de pizza",null,"",""
peras,null,"",""
"carne de ternera",null,"",""
"estropajos para baños",null,"",""
"queso feta",null,"",""
"pan redondo",null,"",""
"cebolla en especie",null,"",""
desodorante,null,"",""
anchoas,null,"",""
estropajos,null,"",""
fideua,null,"",""
"limpiador de vitrocerámica",null,"",""
salvaslip,null,"",""
"caballa en conserva",null,"",""
almendrados,null,"",""
cebollas,null,"",""
"finger de queso",null,"",""
"nachos de queso",null,"",""
"susos de crema",null,"",""
"esponja de baño",null,"",""
"espárragos verdes",null,"",""
"queso en lonchas",null,"",""
"bolsas de congelación",null,"",""
hamburguesas,null,"",""
"pan de hamburguesas",null,"",""
"sal gruesa",null,"",""
"pato wc",null,"",""
aguacate,null,"",""
"taquitos de jamón ",null,"",""
"nata para cocina",null,"",""
cereales,null,"",""
"cereales con chocolate",null,"",""
"caramelos de nata",null,"",""
"lonchas de salchichas",null,"",""
salmorejo,null,"",""
almendras,null,"",""
platanos,null,"",""
palomitas,null,"",""
"sobres te limón",null,"",""
guisantes,null,"",""
"ice tea limón",null,"",""
"oxígeno active",null,"",""
molletes,null,"",""
albahaca,null,"",""
"salchichón de pavo",null,"",""
fregona,null,"",""
"pato wc lejia",null,"",""
"sal de lavavajillas",null,"",""
"papel de aluminio",null,"",""
guantes,null,"",""
absorbeolores,null,"",""
"salchicha en lonchas",null,"",""
calabaza,null,"",""
contessa,null,"",""
"mochila de coco",null,"",""
lavavajillas,null,"",""
"pavo en lonchas",null,"",""
"zumo de melocotón y uva",null,"",""
"pez de espada",null,"",""
"bollos pan",null,"",""
"caramelos de nata y fresa",null,"",""
manzanas,null,"",""
"bolsas de basura azules",null,"",""
kebag,null,"",""
"varitas de merluza",null,"",""
gambones,null,"",""
"patatas campesinas",null,"",""
berenjenas,null,"",""
tiburones,null,"",""
"toallitas cocina",null,"",""
compresas,null,"",""
"pan de rombo",null,"",""
limpiacristales,null,"",""
puerro,null,"",""
bayetas,null,"",""
"tortilla de patatas ",null,"",""
"redes barbacoa",null,"",""
"limpiador de lavavajillas",null,"",""
"bolsas congelación grandes",null,"",""
"caldo de pollo 1/2",null,"",""
"limpiador de calzado",null,"",""
"café descafeinado",null,"",""
garbanzos,null,"",""
"toallitas de muebles",null,"",""
"habas en conserva",null,"",""
"patatas sal y vinagre",null,"",""
cacao,null,"",""
"queso filadelfia",null,"",""
"longanizas de pollo",null,"",""
"pan de molde rústico",null,"",""
nescafe,null,"",""
"croquetas de jamón",null,"",""
"toallitas desmaquilladoras",null,"",""
"rabas empanadas",null,"",""
"melocotón en conserva",null,"",""
"pimientos congelados",null,"",""
"pan integral",null,"",""
"zumo de piña",null,"",""
"harina de fuerza",null,"",""
"disuelve manchas",null,"",""
salchichas,null,"",""
"desodorante de calzado",null,"",""
persimon,null,"",""
"napolitanas de crema",null,"",""
"recambios plumero",null,"",""
tranchetes,null,"",""
"agua botellin",null,"",""
"pimientos rojos",null,"",""
"tomate para rayar",null,"",""
"galletas dinos",null,"",""
"tinto de verano",null,"",""
"ambientador de armarios",null,"",""
"mortadela de pavo",null,"",""
"protector labial",null,"",""
"galletas chocolate",null,"",""
anacardos,null,"",""
"merluza congelada",null,"",""
"ñoquis",null,"",""
"salchichas frescas",null,"",""
espinacas,null,"",""
"acuario de limón",null,"",""
"limpiador wc",null,"",""
"postre lácteo proteinas",null,"",""
"harina de avena",null,"",""
"compresas noche",null,"",""
"aceite de oliva 0,4",null,"",""
chocolate,null,"",""
"queso cottage",null,"",""
"tortitas arroz y legumbres",null,"",""
"panecillos integrales",null,"",""
"leche entera",null,"",""
"cebollas frescas",null,"",""
"copos de avena",null,"",""
"pan cuadrado integral",null,"",""
"abrillantador de tapicerías",null,"",""
"sobres water",null,"",""
"almejas congeladas",null,"",""
chirimoyas,null,"",""
"ambientador de lavavajillas",null,"",""
tarta,null,"",""
desatascador,null,"",""
"ambientador de frigoríficos",null,"",""
"tortas de alcazar",null,"",""
caquis,null,"",""
"limón",null,"",""
puntomatic,null,"",""
"hilo dental",null,"",""
"tiras de pollo",null,"",""
"azafrán en sobre",null,"",""
"nívea soft",null,"",""
calzone,null,"",""
"salsa verde",null,"",""
naranjas,null,"",""
kumato,null,"",""
"filetes de pollo",null,"",""
ensalada,null,"",""
"balletas microfibra pequeñas",null,"",""
"palillos de pan",null,"",""
conos,null,"",""
celdas,null,"",""
"pringles de cebolla",null,"",""
"patatas onduladas",null,"",""
"vino frizante",null,"",""
"torta de turron",null,"",""
lentejas,null,"",""
"caballa al natural",null,"",""
"arcos dentales",null,"",""
"helado contessa",null,"",""
"lonchas de queso",null,"",""
bizcochos,null,"",""
"celdas de barbacoa",null,"",""
"nata de bote",null,"",""
crepes,null,"",""
"solomillo de cerdo",null,"",""
gulas,null,"",""
chicles,null,"",""
azafran,null,"",""
cerveza,null,"",""
"pan de leche",null,"",""
"yogures con proteinas coco",null,"",""
"claras de huevo",null,"",""
"lechuga iceberg",null,"",""
"ensaladilla rusa",null,"",""
"queso lonchas light",null,"",""
mostachones,null,"",""
"tortitas de maíz y jamón",null,"",""
"queso fresco batido",null,"",""
"patatas onduladas jamón",null,"",""
"ambientador entrada",null,"",""
bastoncillos,null,"",""
"pavo braseado",null,"",""
fresas,null,"",""
"jamón de york finito",null,"",""
"rape congelado",null,"",""
"macarrones integrales",null,"",""
ensaimadas,null,"",""
"masa de hojaldre",null,"",""
"pan de mollete",null,"",""
"harina para pescado",null,"",""
"pipas aguasal",null,"",""
"mezcla de semillas",null,"",""
fructis,null,"",""
mostaza,null,"",""
"patatas congeladas",null,"",""
"molinillo de pimienta",null,"",""
"colgante teléfono",null,"",""
"filetes de lomo",null,"",""
chia,null,"",""
"queso mozarella",null,"",""
coliflor,null,"",""
pinchitos,null,"",""
"chocolate negro",null,"",""
"detergente en pastillas",null,"",""
"ajo en especie",null,"",""
"soja texturizada",null,"",""
helados,null,"",""
empanadillas,null,"",""
cerezas,null,"",""
"patatas pequeñas",null,"",""
"queso flor de esgueva",null,"",""
mejillones,null,"",""
"tortilla de patatas",null,"",""
"taquitos de jamón",null,"",""
"te negro",null,"",""
"zero limón",null,"",""
"zero naranja",null,"",""
"zamburiñas",null,"",""
"queso fresco",null,"",""
"patatas fritas clásicas",null,"",""
"pasta de verduras",null,"",""
esparragos,null,"",""
"lejia blanca",null,"",""
"judias verdes",null,"",""
"pan de rombo grande",null,"",""
"galletas divertidas",null,"",""
quinoa,null,"",""
"caprichos de camenbert",null,"",""
"refresco limon zero",null,"",""
"refresco cola zero",null,"",""
"arroz integral",null,"",""
pringles,null,"",""
"agua de coco",null,"",""
"pechuga de pollo en filetes",null,"",""
bacaladillas,null,"",""
xuxos,null,"",""
"nivea soft",null,"",""
"palillos de dientes",null,"",""
